,comment
0,"Đến cuối cùng thì chiếc CUP lớn nhất và quan trọng nhất đối với MU chính là chiếc CUP trong lòng NHM: đầu mùa nhuộm đỏ trời Âu, cuối mùa nhuộm đỏ hang sâu ngõ cùng. Thật sự xúc động khi được nhìn thấy các CĐV MU tri ân HLV Diego Simeone sau trận đấu 😢"
1,Không phải fan ATM nhưng thấy thắng MU là mình rất thích 🤣🤣🤣🤣
2,Ở Simone luôn có nhiệt huyết và độ quái từ khi còn là cầu thủ. Có thể thấy Simone khi là HLV thì luôn làm cho các cầu thủ Nể và có phần Sợ nên luôn giúp các cầu thủ thi đấu đông lòng và không đòi hỏi đi hay ở.
3,"Đúng là câu nói hằng năm với MU “đầu mùa ăn 6 , giữa mùa ăn 3 , cuối mùa còn cái nịt”. Và thế là cuối cùng với MU “Chiếc cúp trong lòng người hâm mộ là chiếc cúp quý giá nhất”"
4,"Chúc mừng Aletico Marid , họ là những  ng xứng đáng , MU chơi v là hay rồi nhưng chỉ kém may mắn trong những cơ hội tấn công mà thôi , không sao cả nếu năm nay không đi tiếp được ta vẫn còn những năm sau để trở lại những thời hoàng kim ngày trước .Mãi yêu MANCHESTER UNITED :3"
5,"Chúc mừng Atletico . Chúc mừng các bạn giành vé đi tiếp , các bạn xứng đáng hơn MU rất nhiều 👍"
6,Hàng thủ rất ổn định trận nào cũng thủng lưới đều đều 1 phong độ quá ổn
7,"2:20 Elanga sút cận thành trúng đầu Oblak, quá đáng tiếc 😣
3:50 Felix ghi bàn nhưng trước đó marcos Llorente đã việt vị 😬
4:22 Griezmann tạt bóng 1 chạm, Lodi đánh đầu vào góc gần mở tỷ số, lỗi kèm ng của Dalot 😑"
8,Phong độ là nhất thời đẳng cấp là những gì Atletico thể hiện
9,đáng ra nên giữ đội hình tương tự hôm trước. Matic vào thay cho Mc tominnay còn Pogba thay cho bruno. Matic chuyền bóng vẫn là khác biệt hơn. Bruno thì tấn công hay rồi nma về phòng thủ thì không đóng góp gì mấy.
10,"Vẫn là De Gea, quá xuất sắc. Phải nói là 2 thủ thành chơi rất xuất sắc. Vẫn là Maguire, một trung vệ quá bình thường và chơi như một tiền vệ. Đội trưởng gì mà không có tầm ảnh hưởng gì hết. Trận đấu hấp dẫn nhưng Athletic Marid may mắn hơn và giành chiến thắng xứng đáng."
11,Huấn luyện Viên Simone chạy ngay vào trong khi thắng mà cổ động viên ở trong sân còn lém đồ như đúng :)) đúng là phản ánh của NSND.
12,Hary Magiue đúng là cầu thủ đa năng tấn công ghi bàn tốt phòng thủ tốt ghi bàn đến De Gea còn phải đứng chôn chân phòng thủ đến Ronaldo còn ko qua được
13,"Bất ngờ từ trước đến nay Man united hôm nay đã dừng bước tới 3 đấu trường, 2 trong nước và 1 ngoài nước đều là trên sân nhà khi chỉ bị thua liên tiếp với tỉ số tối thiểu liên tiếp mà phải ngậm ngùi dừng bước sớm, hi vọng còn lại chỉ còn là cuộc đua gian nan vào top 4 mùa này."
14,Thật đáng tiếc cho hai ngôi sao hàng đầu bóng đá thế giới.
15,"MU thua cx phải thôi bởi hiện tại hàng thủ và tuyến giữa quá yếu, mấy năm liền toàn đá C2 mà năm nay vào vòng 1/8 là tiến bộ vượt bậc r, MU hiện tại chỉ mạnh bằng 1 nửa ALT thôi, nên nhớ là ALT năm nào cx đá C1 và vào vòng sâu liên tục đấy"
16,Chả có gì bất ngờ lắm khi lượt đi MU cầm hòa may mắn. Có thực lực mới buồn chứ đội không có thực lực thì sao phải buồn nhỉ
17,"Lại một mùa giải trắng tay, dù ai nỏ ngã nói nghiêng vẫn dành tình yêu cho đội bóng yêu thích của mình . MANCHESTER UNITED ❤"
18,Rất thích phong cách máu lửa có phần cục súc của Athletico👏👏👏💯
19,"De paul sút quả khó vậy mà De gea vẫn đẩy được, xuất sắc!"
20,"Thật đáng tiếc, MU đang thiếu 1 HLV giỏi. Giờ đá theo kiểu trông chờ cá nhân nổi bật và may mắn. Chứ có bóng đến trước khung thành đội bạn là mạnh ai ngưới đấy sút, không có các bài đánh, pha phối hợp gây đột biến. Hàng tiền vệ thì rời rạc không cầm và phát triển nổi bóng. Hậu vệ thì chậm, lóng ngóng, không dứt khoát. Tôi cho CR7 và David de Gea."
21,Ko sao chiếc cúp trong lòng người hâm mộ vẫn là vô giá
22,Griezmann trận này hay ghê :33 chơi quá cháy atm quá đỉnh
23,không có gì phải phàn nàn vì trận này Mu chơi chấp 2 đôi cánh.nhìn 2 cánh Mu hiện tại thật sự ngán ngẩm.thôi thì nghỉ sớm để dồn sức cho vị trí thứ 6 để mùa sau uống C2 cho mát
24,"Khi hàng hậu vệ trở nên yếu kém, De Gea luôn đúng vai người hùng :))"
25,Hâm mộ atletico từ năm 2014 xin chúc mừng đội bóng của tôi
26,"Tuyệt vời,  đội nào cũng đc cứ thắng MU là đc👏👏"
27,Tuyệt vời Atletico Madrid 💖
28,"Đúng như tôi dự đoán, đội hình MU hôm trước thắng Tottenham 3-2 khiến Rangnick không vui (ổng muốn MU thua trận đó nhưng không thành công). Nay Rangnick đổi đội hình khác (cho Bruno vào mà không cho Cavani vào phối hợp, vẫn để Maguire làm đội trưởng), Rangnick muốn MU phải thua trên mọi đấu trường, ổng là anti fan của MU mà 😃 Ổng là điệp viên nguy hiểm hơn Maguire nhiều."
29,Hai bàn tay trắng cho đội bóng lạc quan nhất thế giới😂
30,Thua cũng đc. Thắng cũng đc. Nhưng nhất định ko đc buông bỏ. Cố lên mu của tôi ơi. Năm sau ta làm lại. Đâu đó vẫn còn những người luôn ủng hộ dõi theo cổ vũ đội bóng hết mình dù có là j chăng nữa. MU muôn năm ❤️
31,aletico đã mang lại sự yên bình cho anh em xem bóng đá trước sự hung hãn của fan penaldo mấy ngày qua
32,Nói thật chứ một dàn hảo thủ của PSG còn bị loại thì MU bị loại cũng không có gì bất ngờ 😞
33,Trận này Varane và Maguire đã chơi suất xắc
34,Tất cả chỉ còn là kỉ niệm vs MU !
35,"Tôi là fan MU. 
Có thực lực thua mới buồn chứ đằng này ko có thực lực thua cũng ko tiếc lắm! Vào vòng tứ kết, bán kết hay gì đó thua càng đau hơn...thôi thì dừng chân đúng nơi thể hiện. Love MU ❤️"
